"pcl"; "eng"
"*kall-esro-"; "flint"
"*kall-estro-"; "flint"
"*kalljo-"; "testicle"
"*kallo-"; "agile"
"*kallukko-"; "stallion"
"*kalmjo-"; "energetic"
"*kal-on-ā-"; "heart"
"*kalǐ-"; "spear"
"*kamawo-"; "sorrow"
"*kamb-atsu-"; "bend in a river"
"*kambito-"; "felloe"
"*kambjo-"; "change"
"*kambo-"; "crooked"
"*kamisjā-"; "shirt"
"*kamulā-"; "female servant"
"*Kamulo-"; "god"
"*kan(s)to-"; "white"
"*kanto-"; "white"
"*kansto-"; "white"
"*kanawon-"; "young animal"
"*kan-e/o-"; "sing"
"*kang(s)man-"; "step"
"*kangman-"; "step"
"*kangsman-"; "step"
"*kang-e/o-"; "go"
"*kanīnā-"; "onion"
"*kan-jato-"; "singer"
"*kan-je/o-"; "insult"
"*kankī-"; "branch"
"*kāno-, konnallo-"; "cane"
"*kāno-"; "cane"
"konnallo-"; "cane"
"*kāno-"; "cane"
"konnallo-"; "cane"
"*kansti-"; "conversation"
"*kanta (< *km̥th₂)"; "with"
"*kanta "; "with"
"*kanta < *km̥th₂"; "with"
"*kantairV-"; "carpenter's tool"
"*kantlo-"; "song"
"*kanto- , *kantjā-"; "host, gathering"
"*kanto-"; "host, gathering"
"*kantjā-"; "host, gathering"
"*kanto- "; "host, gathering"
"*kantjā-"; "host, gathering"
"*kantom"; "hundred"
"*kanto-meto-"; "hundredth"
"*kant-se/o-"; "suffer"
"*kantV-buti-"; "perceive"
"*kanxtu-"; "plough"
"*kappo-"; "box"
"*kar-a(j)e/o-"; "love"
"*kar-ae/o-"; "love"
"*kar-aje/o-"; "love"
"*karant-"; "friend"
"*kar-ant-ijo-"; "friendship"
"*kar-at-assu-"; "friendship"
"*karato-, karatāko-"; "pleasing"
"*karato-"; "pleasing"
"karatāko-"; "pleasing"
"*karato-"; "pleasing"
"karatāko-"; "pleasing"
"*karatu-"; "love"
"*karb-agno-"; "weaver's beam; gum (of teeth)"
"*karbanto-, *karbito-"; "wagon"
"*karbanto-"; "wagon"
"*karbito-"; "wagon"
"*karbanto-"; "wagon"
"*karbito-"; "wagon"
"*kar-etsā-"; "kinswoman"
"*karīso-"; "kernel of fruit"
"*karjā-"; "blame"
"*karnajo-"; "meat"
"*karno-"; "hoof of a solid-hoofed animal"
"*karo-"; "dear"
"*karotīno-"; "rowan-tree"
"*karrāko-"; "mangy"
"*karrekǐ-"; "stone"
"*karro-"; "car"
"*karro-talī-"; "carted manure"
"*kart-āje/o-"; "clean"
"*kartiljā-"; "ball of yarn"
"*karw-et-ī"; "stags"
"*karwo-"; "deer"
"*karφjo-, *karφimon-"; "shoe-maker"
"*karφjo-"; "shoe-maker"
"*karφimon-"; "shoe-maker"
"*karφjo-"; "shoe-maker"
"*karφimon-"; "shoe-maker"
"*kasegilo- jugo-"; "axillary yoke"
"*kaskl-"; "gathering"
"*kasnā-"; "hare"
"*kāsni-"; "law"
"*kassarī-"; "hail"
"*kassrik-"; "fort"
"*kasti-"; "hate"
"*Kasti-,-o-"; "personal name"
"*kasto-"; "fast"
"*katāko-"; "warlike"
"*katarno-"; "brave"
"*kat-je/o-"; "enjoy"
"*kato-"; "wise"
"*katsal-ī-/-o-"; "armpit"
"*katsVnotV-"; "piece"
"*katto-, *kattā-"; "cat"
"*katto-"; "cat"
"*kattā-"; "cat"
"*katto-"; "cat"
"*kattā-"; "cat"
"*katu-"; "fight"
"*Katu-māro-"; "personal name"
"*katu-mīlet-"; "warrior"
"*katu-rīgjā-"; "battle-king"
"*katu-sīl-V-"; "caltrop (*seed of battle)"
"*katu-slougo-"; "battle-host"
"*katu-walo-"; "battle-lord"
"*katu-wiro-"; "battle-hero"
"*kaulljo-"; "post"
"*kawaro-"; "hero, giant"
"*kawat(o)-"; "shower"
"*kawat-"; "shower"
"*kawato-"; "shower"
"*kaxtā-je/o-"; "obtain"
"*kaxto-"; "caught, servant"
"*kaxto-nāto-"; "captivity"
"*kaφ-e/o-"; "attain"
"*kaφno-"; "(sea-)harbour"
"*kaφro-"; "goat"
"*kaφrǎk-"; "sheep"
"*kebbo-"; "garden"
"*kebno-"; "back"
"*kegino-"; "back"
"*kei"; "pronoun (this)"
"*kei"; "there"
"*kei-"; "go"
"*kei, *ki"; "although"
"*kei"; "although"
"*ki"; "although"
"*kei"; "although"
"*ki"; "although"
"*keid-e/o-"; "fall"
"*kei-e/o-"; "cry"
"*keiljo-"; "companion"
"*keinV-man-"; "lament"
"*keiro-"; "dark brown"
"*keissi-"; "furrow"
"*keiwo-"; "man"
"*kekīnā-"; "green woodpecker"
"*kekitā-"; "hemlock"
"*kekʷurā-; *kekʷari-"; "swamp; mud, dung"
"*kekʷurā-"; "swamp; mud, dung"
"*kekʷari-"; "swamp; mud, dung"
"*kekʷurā-"; "swamp; mud, dung"
"*kekʷari-"; "swamp; mud, dung"
"*kel(j)o-"; "death"
"*kelo-"; "death"
"*keljo-"; "death"
"*kelb/mV-"; "pillar"
"*kel-e/o-"; "conceal"
"*kelgā-"; "cunning"
"*Kelto-, *Keltā-"; "ethnic name"
"*Kelto-"; "ethnic name"
"*Keltā-"; "ethnic name"
"*Kelto-"; "ethnic name"
"*Keltā-"; "ethnic name"
"*kelφurno-"; "pot"
"*kenetlo-"; "family"
"*keng(j)ā-"; "rack"
"*kengā-"; "rack"
"*kengjā-"; "rack"
"*kenget-"; "warrior"
"*ken-je/o-"; "rise (from)"
"*kenni-"; "skin"
"*keno-"; "empty"
"*kentatā-"; "permission"
"*kento-gijamo-"; "autumn (*before winter)"
"*kentr-"; "thorn"
"*kentu-"; "first"
"*kenǐ"; "as"
"*kerbbo-"; "cut"
"*kerb-o-"; "sharp"
"*kerd-ā-"; "journey"
"*kerdā-"; "craft"
"*kerd-e/o-"; "swing"
"*kerdi-"; "step"
"*kerk-"; "approach"
"*kerk-injo-"; "circle"
"*kerkinn-"; "circle"
"*kernā-"; "head"
"*kerro-"; "left"
"*kerto-"; "right"
"*kerto- 2"; "short"
"*kerφ-e/o-"; "hew off, mutilate"
"*kes-je/o-"; "see"
"*kestā-"; "spear"
"*kesti-"; "spear"
"*kesφil-āko-"; "woodcock"
"*keternā-"; "troop"
"*ketorā-"; "pubic hair"
"*kewok-"; "fog"
"*kī(n)srā-"; "comb"
"*kīsrā-"; "comb"
"*kīnsrā-"; "comb"
"*kid-e/o-"; ""
"*kīkā-"; "meat"
"*kīk-āko-"; "meaty"
"*kintu-lung-"; "hunger"
"*kintu-samīno-"; "beginning of summer"
"*kintu-samo-"; "first"
"*kintu-sed-o-"; "porch"
"*kirko-"; "goal"
"*kīro-"; "clean"
"*kistā-"; "basket, hurdle"
"*kitt-"; "sheep"
"*ki-tu-"; "joining"
"*kladimo-"; "sword"
"*klad-je/o-"; "dig"
"*klādo-"; "ditch"
"*klado-, klādo-"; "ditch"
"*klado-"; "ditch"
"klādo-"; "ditch"
"*klado-"; "ditch"
"klādo-"; "ditch"
"*klam-ito-"; "sickness"
"*klamo-"; "sick"
"*klanī-"; "desire"
"*klāro-"; "table"
"*klaser-injo-"; "gadfly"
"*klatsi- (< *klad-ti-)"; "groove"
"*klatsi- "; "groove"
"*klatsi- < *klad-ti-"; "groove"
"*klāw-je/o-"; "close"
"*klāwo-"; "nail"
"*kledo-"; "sword"
"*kleijo-"; "left"
"*kleitā-"; "fence"
"*klew-e/o-"; "hear"
"*klewos-"; "fame"
"*klijaro-"; "lukewarm"
"*klit(j)o-"; "warm"
"*klito-"; "warm"
"*klitjo-"; "warm"
"*kli-trā-"; "lath, fence"
"*kloino-"; "slanting"
"*kloker-ī"; "rocks"
"*klokir-āko-"; "rocky place"
"*klokjā-"; "joke"
"*kloppo-"; "lame"
"*klouni-"; "haunch"
"*klouni-"; "meadow"
"*kloustā-"; "ear"
"*Kloutā-"; "river name"
"*klout-e/o-"; "put together"
"*kloφni- 1"; "meadow"
"*kloφni- 2"; "deception"
"*kluggā-"; "stone"
"*klukko-, klukkā-"; "bell"
"*klukko-"; "bell"
"klukkā-"; "bell"
"*klukko-"; "bell"
"klukkā-"; "bell"
"*klukko-tegos-"; "bell-tower"
"*kluko-jaro-"; "partridge"
"*klu-n-je/o-"; "hear"
"*klus-e/o-"; "hear"
"*kluto-"; "famous"
"*knab-īje/o-"; "shear"
"*knab-jā-"; "fleece"
"*knā-je/o-"; "bite"
"*knāmi-"; "bone"
"*knāto-"; "flesh"
"*knetsV-"; "skin"
"*knidā-"; "wound"
"*knokko-"; "hill"
"*knuto-"; "crop, produce"
"*knuwjā-"; "nut"
"*ko(m)-"; "prefix"
"*ko-"; "prefix"
"*kom-"; "prefix"
"*kobo-"; "victory"
"*koiljā-"; "thinness"
"*koilo-"; "thin"
"*koimo-"; "dear"
"*koin-je/o-, *kein-"; "cry"
"*koin-je/o-"; "cry"
"*kein-"; "cry"
"*koin-je/o-"; "cry"
"*kein-"; "cry"
"*koisi-"; "guardian"
"*kokalī-"; "distaff"
"*kokko-, *kokki-"; "red"
"*kokko-"; "red"
"*kokki-"; "red"
"*kokko-"; "red"
"*kokki-"; "red"
"*kolanī-"; "meat; corpse"
"*koldo-"; "damage"
"*kolgo-, kalgo-"; "sword"
"*kolgo-"; "sword"
"kalgo-"; "sword"
"*kolgo-"; "sword"
"kalgo-"; "sword"
"*kolinno-"; "holly"
"*koll-at-īk-axtā-"; "destruction"
"*koll-etā-"; "loss"
"*kollo-"; "hazel"
"*kollo-"; "leader"
"*kollo-"; "one-eyed"
"*kolombo-"; "dove"
"*kolto-"; "nourishment"
"*kom-"; "preposition (with)"
"*kom-ad-reg-e/o-"; "raise"
"*kom-ad-treb-o-"; "home"
"*kom-aiwestu-"; "of the same age"
"*kom-akusā-"; "close"
"*kom-al-tijā-"; "union"
"*kom-altjo-"; "foster brother"
"*kom-amsterā-"; "interval"
"*kom-angjo-"; "narrow"
"*kom-anman-"; "nickname"
"*kom-ardu/o-talo-"; "equal"
"*kom-arī-"; "place"
"*kom-ar-o-"; "joint ploughing"
"*kom-bāgo-"; "battle"
"*kom-bāgo-"; "fight"
"*kom-ber-e/o-"; "need, wish"
"*kom-bero-"; "confluence"
"*kom-berr-sag-e/o-"; "shorten, delete"
"*kom-bi-n-a-"; "cut down"
"*kom-bī-to-"; "battle"
"*kombo-"; "cover"
"*kom-bru-to-"; "mortar"
"*kom-buti-"; "community"
"*kom-datlā-"; "conference"
"*kom-datl-āje/o-"; "assemble"
"*kom-ed-o-"; "feast"
"*kom-elīnV-"; "length of fore-arm doubled"
"*kom-exs-dī-sed-o-"; "seat"
"*kom-exs-kar-"; "hostility"
"*kom-geistlo-"; "obligation"
"*kom-kan-jā-"; "a kind of metre"
"*kom-katu-"; "battle"
"*kom-knā-(j)e/o-"; "gnaw"
"*kom-knā-e/o-"; "gnaw"
"*kom-knā-je/o-"; "gnaw"
"*kom-kor-o-"; "advice"
"*kom-kʷeislā-"; "consideration"
"*kom-labaro-"; "conference"
"*kom-logV-"; "in calf"
"*kom-lugjā-"; "joint oath"
"*kom-mannV-"; "company"
"*kom-man-o-"; "memory"
"*kom-mantī-"; "same size"
"*kom-mest- (< *-med-t-)"; "fitting"
"*kom-mest- "; "fitting"
"*kom-mest- < *-med-t-"; "fitting"
"*kom-met- (pass.)"; "measure"
"*kom-met- "; "measure"
"*kom-met- pass."; "measure"
"*kom-mi(k)sk-e/o-"; "mix"
"*kom-misk-e/o-"; "mix"
"*kom-miksk-e/o-"; "mix"
"*kom-netsamo-"; "neighbour"
"*kom-nixtā--"; "first cousin (female)"
"*kom-okjo-"; "pick-axe"
"*kom-oxt-āko-"; "rich"
"*kom-oxto-"; "power"
"*kom-rādo-"; "conversation"
"*kom-randā-"; "division"
"*kom-ranko-"; "meeting"
"*kom-ret-e/o-"; "run with"
"*kom-rigo-"; "chain"
"*kom-rigo- , *kom-reigo-"; "chain"
"*kom-rigo-"; "chain"
"*kom-reigo-"; "chain"
"*kom-rigo- "; "chain"
"*kom-reigo-"; "chain"
"*kom-rūno-"; "secret"
"*kom-samali-"; "similar"
"*kom-ser-ī (pl.)"; "muscle"
"*kom-ser-ī "; "muscle"
"*kom-ser-ī pl."; "muscle"
"*kom-sit-ijā-"; "equal length"
"*kom-sit-ouno-"; "as far as"
"*kom-sitV-"; "of equal length"
"*kom-sketlo-"; "tale"
"*kom-skʷo-"; "reprimand"
"*kom-snij-"; "growth"
"*kom-snīmo-"; "conflict"
"*kom-soud-e/o-"; "accuse"
"*kom-statlo-"; "worth as much (< *equal standing)"
"*kom-stlond-"; "kindred"
"*kom-trāno-"; "maggot"
"*kom-trumb-"; "equal"
"*kom-wed-e/o-"; "bring along"
"*kom-wex-tijo-"; "company"
"*kom-widu-"; "harmony"
"*kom-wiro-"; "right"
"*kom-wīro-"; "true"
"*kom-wo-lig(j)o-"; "bedfellow"
"*kom-wo-ligo-"; "bedfellow"
"*kom-wo-ligjo-"; "bedfellow"
"*kom-φadasto-"; "same"
"*kom-φar(x)-ske/o-"; "ask"
"*kom-φar-ske/o-"; "ask"
"*kom-φarx-ske/o-"; "ask"
"*kom-φari-org-no-"; "mistake"
"*kom-φro-dano-"; "conversation"
"*kond-(ei)e/o-"; "burn"
"*kond-e/o-"; "burn"
"*kond-eie/o-"; "burn"
"*kondimon-"; "eat"
"*kondo-"; "sense"
"*koneto-"; "glory"
"*korajet-"; "basket"
"*korb-"; "stain"
"*korbo-"; "wagon"
"*kordā-"; "band, host, family"
"*kor-eie/o-"; "put"
"*korjo-"; "army"
"*kork-"; "heron"
"*korkākā-"; "swamp"
"*korkjo-"; "oats"
"*kormiljā-"; "service tree"
"*korno-"; "horn"
"*korokasto-, *korVsto-"; "reed"
"*korokasto-"; "reed"
"*korVsto-"; "reed"
"*korokasto-"; "reed"
"*korVsto-"; "reed"
"*korro-"; "stunted, dwarfish"
"*korro-"; "top, summit"
"*koslo-wido-"; "hazel-tree"
"*kostā-"; "haunch"
"*kosto-korjā-"; "retinue"
"*kots-āje/o-"; "scratch, itch"
"*kou(d)-je/o-"; "hide"
"*kou-je/o-"; "hide"
"*koud-je/o-"; "hide"
"*koud-jato-"; "concealment"
"*koudo-"; "beat"
"*koudo-"; "concealment"
"*kougleno-"; "lock of hair"
"*kouko-, kukā-"; "cuckoo"
"*kouko-"; "cuckoo"
"kukā-"; "cuckoo"
"*kouko-"; "cuckoo"
"kukā-"; "cuckoo"
"*kouno-"; "beautiful"
"*kounV-  < *kwonV-"; "pack of dogs or wolves"
"*kounV-"; "pack of dogs or wolves"
"*kwonV-"; "pack of dogs or wolves"
"*kourano-"; "shoe"
"*koutino-"; "lock of hair"
"*kowanno-"; "owl"
"*kowǎko-"; "fight"
"*krab-"; "scrape"
"*krabidu-"; "religion"
"*kragi-"; "clear"
"*krakko-"; "scab; hillock"
"*krakko-swijat-"; "teal"
"*krākni-"; "sow (pig)"
"*krako-"; "stone"
"*krampeittV-"; "pancakes"
"*kran-je/o-"; "wallow"
"*krankko-"; "crab"
"*krāsjano-"; "skull"
"*krasrī-"; "wasp"
"*krast-āje/o-"; "bake"
"*krasto-"; "dry"
"*krauφennā-"; "crust"
"*krāφo-"; "stable"
"*kred(d)-ā-"; "belief"
"*kred-ā-"; "belief"
"*kredd-ā-"; "belief"
"*kred-dī-"; "believe"
"*kredrā-"; "relic"
"*kreikʷ-ro-"; "rime; honey-comb"
"*kreitro-"; "sieve"
"*kreiwo-"; "flesh"
"*krekto-"; "wound"
"*kremo-, *kramo-"; "garlic"
"*kremo-"; "garlic"
"*kramo-"; "garlic"
"*kremo-"; "garlic"
"*kramo-"; "garlic"
"*krettā-"; "form"
"*kribbo-"; "fast"
"*krid-"; "shrink"
"*kridjo-"; "heart"
"*krigā-"; "cry"
"*kriko-"; "hoarse"
"*krikso-"; "curly"
"*krikso-"; "curl"
"*krīkʷā-"; "border"
"*krīkʷ-āje/o-"; "comb, card"
"*krīkʷ-īnā-"; "rake"
"*krimo-"; "strong"
"*krimo-tero-"; "strength"
"*kri-n-a-"; "split"
"*kri-n-e/o-"; "separate"
"*kri-n-e/o-"; "shake"
"*krīno-"; "withered"
"*krip(p)-"; "strong"
"*krip-"; "strong"
"*kripp-"; "strong"
"*krisso-"; "belt"
"*kris-t-āje/o-"; "shake"
"*kri-t-"; "shake"
"*kri-tr-i-"; "shaking"
"*krittā-"; "frame"
"*kritu- (-i-)"; "shaking, fever"
"*kritu- "; "shaking, fever"
"*kritu- -i-"; "shaking, fever"
"*krīφo-"; "basket"
"*kro(k)k-āno-"; "pot"
"*krok-āno-"; "pot"
"*krokk-āno-"; "pot"
"*krobjo-"; "a kind of tree"
"*krobV-"; "claw"
"*krokenā-"; "cockle"
"*krok-inā-"; "garment made of sheepskin"
"*krokk-akno-"; "pot"
"*krokkenno-"; "back, skin"
"*krokko-"; "vehement"
"*krokno-"; "back, skin"
"*krokV-  + *kʷrenno-"; "gallows"
"*krott(j)ā-je/o-"; "shake"
"*krottā-je/o-"; "shake"
"*krottjā-je/o-"; "shake"
"*kroudi-"; "hard"
"*kroukā-"; "mound"
"*krowo-"; "crow"
"*krumbano-"; "sickle"
"*krumb-āno- -"; "sickle"
"*krumbo-"; "crooked"
"*krundi-"; "round"
"*kruno-tero-"; "roundness"
"*kruppelo-"; "armoured gladiator"
"*kruttā-"; "harp"
"*kruwo-"; "hoof"
"*krūwo-"; "raw"
"*kruwos-"; "blood"
"*krǎknik-"; "grunt"
"*kudalo-"; "skin"
"*kukko-"; "boat"
"*kukro- (or *kVuro-)"; "crooked"
"*kukro- "; "crooked"
"*kukro- or *kVuro-"; "crooked"
"*kuleino-"; "whelp"
"*kuli-"; "fly"
"*kūlī-"; "corner, recess"
"*kuljā-"; "storeroom"
"*kulmbo-"; "thread"
"*kulo-"; "sin"
"*kūlo-"; "back"
"*kūlo- danto-"; "molar tooth"
"*kulor-"; "earth-nut"
"*kulVm-āje/o-"; "bind"
"*kumbā-"; "valley"
"*Kunagno-"; "personal name"
"*kuno-"; "high"
"*kuno-darijā-"; "anger"
"*kuno-dar-jāko-"; "furious"
"*Kuno-gustu- ("dog")"; "personal name"
"*Kuno-gustu- "; "personal name"
"*Kuno-gustu- "dog""; "personal name"
"*kuno-kʷenno-"; "dog-head"
"*Kuno-māro- ("dog")"; "personal name"
"*Kuno-māro- "; "personal name"
"*Kuno-māro- "dog""; "personal name"
"*Kuno-walo-"; "personal name"
"*Kurkagno-"; "personal name"
"*kurmen-"; "beer"
"*kurmi-tegos-"; "ale-house"
"*kuro-"; "circle"
"*kurro- < *kurso-"; "corner"
"*kurro-"; "corner"
"*kurso-"; "corner"
"*kurro-"; "corner"
"*kurso-"; "corner"
"*kuruko-"; "boat"
"*kusk-āje/o-"; "sleep"
"*kusko-"; "sleep"
"*kutV-"; "scrotum"
"*kuwo-"; "young animal"
"*kuzdro-"; "anus, rectum"
"*kuφlā-"; "burden"
"*kuφnā-"; "heap"
"*kʷa(s)ir"; "why"
"*kʷair"; "why"
"*kʷasir"; "why"
"*kʷākʷo-"; "all, every"
"*kʷal-e/o-"; "dig"
"*kʷalo-"; "spade"
"*kʷan-"; "when"
"*kʷā-nī"; "not"
"*kʷani"; "when"
"*kʷanto-"; "valley"
"*kʷar-je/o-"; "make"
"*kʷarjo-"; "kettle"
"*kʷarφo-"; "spear"
"*kʷasto-"; "cough"
"*kʷasto-"; "plait"
"*kʷāti-"; "winnow"
"*kʷe"; "and"
"*kʷe"; "relative particle"
"*kʷe-ageti"; "if; or"
"*kʷebro-"; "clear"
"*kʷei"; "to where"
"*kʷei(-jo)"; "who"
"*kʷei"; "who"
"*kʷei-jo"; "who"
"*kʷeillā-"; "understand"
"*kʷeisl-jato-"; "intention"
"*kʷeislo-"; "gather"
"*kʷekʷ-"; "cook"
"*kʷekʷro-"; "strong"
"*kʷekʷ-to-"; "cooked, hot"
"*kʷekʷto-"; "strength"
"*kʷelatri-"; "post"
"*kʷel-s-o-"; "far"
"*kʷenkʷ(e)to-"; "fifth"
"*kʷenkʷto-"; "fifth"
"*kʷenkʷeto-"; "fifth"
"*kʷenkʷe"; "five"
"*kʷenkʷe-dekan"; "fifteen"
"*kʷenkʷ-kont-"; "fifty"
"*kʷenkʷ-wiro-"; "five people"
"*kʷenn-axto-"; "ruling"
"*kʷenno-"; "head"
"*kʷenno-galo-"; "pain in the head"
"*kʷenno-glīno-"; "knee"
"*kʷenno-kouxso-"; "hood"
"*kʷenno-mīk-ā-"; "jealousy"
"*kʷenno-rigo-"; "halter"
"*kʷenno-rindo-"; "cape"
"*kʷenno-tamīko-"; "lord"
"*kʷenno-windo-"; "white-headed"
"*kʷentīlo-"; "stable"
"*kʷerk-eno-"; "owner"
"*kʷerkʷ-t-"; "bush, hedge"
"*kʷer-nā-"; "vessel"
"*kʷero-"; "purchase (noun)"
"*kʷeti"; "how many"
"*kʷeti-"; "how many"
"*kʷetr-anī(-)"; "(hind)quarter"
"*kʷetr-anī"; "(hind)quarter"
"*kʷetr-anī-"; "(hind)quarter"
"*kʷetru-"; "four-"
"*kʷetru-meto- , *kʷetwarjo-"; "fourth"
"*kʷetru-meto-"; "fourth"
"*kʷetwarjo-"; "fourth"
"*kʷetru-meto- "; "fourth"
"*kʷetwarjo-"; "fourth"
"*kʷetti-"; "piece"
"*kʷetweres , *kʷetesres"; "four"
"*kʷetweres"; "four"
"*kʷetesres"; "four"
"*kʷetweres "; "four"
"*kʷetesres"; "four"
"*kʷinnako-"; "(who/what)soever"
"*kʷin-u-"; "blame"
"*kʷi-ow-"; "whose is"
"*kʷīt-"; "penis"
"*kʷlan(n)tā-"; "descendants"
"*kʷlantā-"; "descendants"
"*kʷlanntā-"; "descendants"
"*kʷo-, *kʷe-"; "interrogative"
"*kʷo-"; "interrogative"
"*kʷe-"; "interrogative"
"*kʷo-"; "interrogative"
"*kʷe-"; "interrogative"
"*kʷokʷ-er-"; "baker"
"*kʷokʷo-tegos-"; "bakery"
"*kʷol-ō"; "car"
"*kʷonton-"; "boat"
"*kʷoud-e/o-"; "go"
"*kʷowitso-"; "rest"
"*kʷowitso-magos-"; "resting-place"
"*kʷranno-"; "tree"
"*kʷreid-, *kʷrīd-"; "clay"
"*kʷreid-"; "clay"
"*kʷrīd-"; "clay"
"*kʷreid-"; "clay"
"*kʷrīd-"; "clay"
"*kʷrendo-galā-"; "fight with spears"
"*kʷrestjo-"; "copse"
"*kʷrimi-"; "worm"
"*kʷrina-"; "buy"
"*kʷristo-"; "grove, wood"
"*Kʷritenjā-"; "ethnic name"
"*kʷrit-er-āje/o-"; "consider, look after"
"*kʷritero-"; "care"
"*kʷrit-jo-"; "poet"
"*kʷrito-"; "poetry"
"*kʷrīto-"; "expensive"
"*kʷritu-"; "form"
"*kʷu"; "to"
"*kwū, *kun-"; "dog"
"*kwū"; "dog"
"*kun-"; "dog"
"*kwū"; "dog"
"*kun-"; "dog"
"*kʷus-"; "preposition (until)"
"*kʷuts"; "where, how"
"*l(e)i-je/o-"; "insult"
"*li-je/o-"; "insult"
"*lei-je/o-"; "insult"
"*l(e)nt-ro-"; "smooth, shining"
"*lnt-ro-"; "smooth, shining"
"*lent-ro-"; "smooth, shining"
"*lā-(j)e/o-"; "send"
"*lā-e/o-"; "send"
"*lā-je/o-"; "send"
"*labar-aje/o-"; "speak"
"*ladgo- (-ā-)"; "snow"
"*ladgo- "; "snow"
"*ladgo- -ā-"; "snow"
"*laggo-"; "slack"
"*lagīnā-"; "spear"
"*lagisamo-"; "least"
"*lagj-āno-"; "nun"
"*lagu-"; "small"
"*laid-je/o- / *loid-je/o-"; "insult"
"*laid-je/o-"; "insult"
"*loid-je/o-"; "insult"
"*laid-je/o-"; "insult"
"*loid-je/o-"; "insult"
"*lak-ā-"; "bend"
"*laknet-"; "shirt"
"*laku-"; "lake"
"*landā-"; "surface"
"*land-erkā-"; "clearing"
"*langos-"; "insult"
"*langsman-"; "jump"
"*lang-sman-īko-"; "jumping"
"*lannā-"; "scale"
"*lannā- (-nd-)"; "grill"
"*lannā- "; "grill"
"*lannā- -nd-"; "grill"
"*largo-"; "generous"
"*lāro-"; "only, alone"
"*lasko-, lesko-"; "slack"
"*lasko-"; "slack"
"lesko-"; "slack"
"*lasko-"; "slack"
"lesko-"; "slack"
"*las-ni-"; "greedy"
"*lat-"; "day"
"*latākā-, *latjo-"; "mud"
"*latākā-"; "mud"
"*latjo-"; "mud"
"*latākā-"; "mud"
"*latjo-"; "mud"
"*lati-"; "liquor"
"*lāto-"; "lust"
"*lātro-"; "trousers"
"*laudo-"; "saying"
"*lawenjā-"; "happiness"
"*laweno-"; "happy"
"*laweno-sag-e/o-"; "rejoice"
"*lawero-"; "enough"
"*lawo-"; "water"
"*laxsaro-"; "flame"
"*laxto-"; "milk"
"*le(n)gʷ-"; "eat"
"*legʷ-"; "eat"
"*lengʷ-"; "eat"
"*le(φ)mo-"; "voice"
"*lemo-"; "voice"
"*leφmo-"; "voice"
"*leg-ā-/-o-"; "place"
"*leg-e/o-"; "lie"
"*leg-e/o-, lexto-"; "melt"
"*leg-e/o-"; "melt"
"lexto-"; "melt"
"*leg-e/o-"; "melt"
"lexto-"; "melt"
"*leg-je/o-"; "tear"
"*leg-jo-"; "bed"
"*leg-jo-"; "grave"
"*legos-"; "bed"
"*legu-"; "small"
"*lei(φ)mā-"; "linden"
"*leimā-"; "linden"
"*leiφmā-"; "linden"
"*leig-(j)e/o-, *lig-a-"; "lick"
"*leig-(j)e/o-"; "lick"
"*lig-a-"; "lick"
"*leig-e/o-"; "lick"
"*leig-je/o-"; "lick"
"*lig-a-"; "lick"
"*leigā-"; "spoon"
"*lei-ko-"; "cross"
"*leino-"; "fields"
"*leino-"; "soft"
"*leiri-"; "complete"
"*lekkā-"; "binding"
"*lemrixto-"; "sweet milk"
"*lengro-"; "intestinal worm"
"*lenkʷ-je/o-"; "leave"
"*lergo-"; "path, track"
"*lesanjo-"; "shirt"
"*lestro-"; "pot"
"*leto-biwo-"; "half alive"
"*leto-kʷenno-"; "cheek"
"*letos-"; "half"
"*letos-"; "side"
"*letro-"; "leather"
"*lettrek-"; "hill"
"*leugā-"; "league"
"*Leuketjo- (/ *-ou-)"; "personal name"
"*Leuketjo- "; "personal name"
"*Leuketjo- / *-ou-"; "personal name"
"*leuko-"; "white"
"*lewo-"; "lion"
"*lexsk-jo-"; "weakness"
"*lexsko-"; "sluggish, languid"
"*lexsowjo-"; "slant"
"*lexto-"; "bed"
"*lexto-"; "death"
"*lī(φ)agi-"; "doctor"
"*līagi-"; "doctor"
"*līφagi-"; "doctor"
"*liguru-"; "tongue"
"*lijank-"; "stone"
"*lījant-"; "flood, sea"
"*likkon-"; "cheek"
"*likʷ(kʷ)i-"; "similar"
"*likʷi-"; "similar"
"*likʷkʷi-"; "similar"
"*limo-"; "elm"
"*līmo-"; "flood"
"*li-n-a-"; "stick to"
"*lī-no-"; "pus"
"*līno-"; "linen"
"*linomn̥"; "blot, erasure"
"*liro-"; "sea"
"*lisd-"; "slide"
"*list(V)nabed-"; "phlegm"
"*listnabed-"; "phlegm"
"*listVnabed-"; "phlegm"
"*listo-"; "nickname"
"*līto-"; "feast"
"*litsu-"; "disgust"
"*līweto-"; "host"
"*līwo(s)-"; "colour"
"*līwo-"; "colour"
"*līwos-"; "colour"
"*lixto-"; "bait"
"*lo(x)-ske/o-"; "burn"
"*lo-ske/o-"; "burn"
"*lox-ske/o-"; "burn"
"*lo(x)-sk-et-īko-"; "burnt; burning"
"*lo-sk-et-īko-"; "burnt; burning"
"*lox-sk-et-īko-"; "burnt; burning"
"*lo(x)-sk-o-"; "burn"
"*lo-sk-o-"; "burn"
"*lox-sk-o-"; "burn"
"*lo(x)sman-"; "swallow"
"*losman-"; "swallow"
"*loxsman-"; "swallow"
