"gla","eng","see-also","gla-keywords","eng-keywords","gla-metaphone","eng-metaphone"
"féile","generosity, hospitality, Irish <i>féile</i>, Early Irish <i>féle</i>; from fial, q.v.","","feil, féile","earli, fial, from, féile, féle, generos, hospit, irish, qv","FL","ARL, ARX, FL, FRM, HSPT, JNRS, KF, KNRS"
"++féile","charm, incantation, Early Irish <i>éle</i>, <i>héle</i>, <i>mo fhele</i>; from Norse <i>heill</i>, auspice, omen, English <i>hale</i>, etc.; allied to Old Irish <i>cél</i>, augurium, Welsh <i>coel</i>, omen, Old Welsh <i>coil</i> (Zim., Zeit.@+<i>33</i> 147). For Gaelic féile, See <i>Inv. Gaelic Soc. Tr. @+</i>17 243. Stokes regards Zimmer's derivation from Norse a failure, and compares Welsh <i>wylo</i>, wail, weep, as Irish <i>amor</i>, music = Welsh <i>afar</i>, grief, and Gaelic ceòl = German <i>heulen</i>, howl. Rhys cfs. Welsh <i>eli</i>, oil, ointment.","","feil, féile","147, 17, 243, 33, afar, alli, amor, as, augurium, auspic, ceòl, cfs, charm, coel, coil, compar, cél, deriv, earli, eli, english, etc, failur, fhele, for, from, féile, gaelic, german, grief, hale, heill, heulen, howl, héle, incant, inv, irish, mo, music, nors, oil, ointment, old, omen, regard, rhys, see, soc, stoke, to, tr, wail, weep, welsh, wylo, zeit, zim, zimmer, éle","FL","AFR, AKRM, AL, ALT, ALX, AMN, AMR, ANF, ANKLX, ANKNT, ANLX, ANTMNT, AP, ARL, ARX, AS, ASPK, ATK, FL, FLR, FLX, FP, FR, FRM, HL, HLN, JRMN, KFS, KL, KLK, KMPR, KRF, KRMN, M, MSK, NRS, RKRT, RS, S, SK, SL, SM, SMR, ST, STK, T, TR, TRF, XRM"
"féile, féileadh","a kilt, Early Irish, Old Irish <i>fíal</i>, velum: Old Irish <i>ronfeladar</i>, he might clothe us; from Latin <i>vêlum</i>, a covering, <i>vêlare</i>, English <i>veil</i>. In Islay, Jura, etc., it is <i>an t-sibhleadh</i>. McL. and D. <!-- page 170 --> also give <i>éibhleadh</i>. Hend. questions if Latin See <i>uanfebli</i> in Fled Breton 68. Root <i>sveil</i> as in fill, <i>spaoil</i>, etc?","","feil, feileadh, féile, féileadh","170, 68, also, as, breton, cloth, cover, earli, english, etc, fill, fled, from, fíal, give, he, hend, if, in, irish, islay, it, jura, kilt, latin, mcl, might, old, page, question, ronfeladar, root, see, spaoil, sveil, t-sibhleadh, uanfebl, us, veil, velum, vêlare, vêlum, éibhleadh","FL, FLT","AF, AL, ALS, ALT, AN, ANFPL, ANKLX, ANLX, APLT, AR, ARL, ARX, AS, AT, ATK, FL, FLM, FLR, FLT, FRM, H, HNT, JF, JR, KF, KFR, KL0, KLT, KSXN, LTN, MKL, MT, PJ, PK, PRTN, RNFLTR, RT, S, SFL, SPL, TTSPLT"
"féill","a fair, feast, Irish <i>féil</i>, festival, holiday, Old Irish <i>féil</i>, Welsh <i>gwyl</i>, festum, Breton <i>goel</i>, <i>*vegli-</i>; Latin <i>vigilia</i>, Greek <i>veille</i>, a watch, vigil, English <i>vigil</i>, <i>wake</i>. The Celtic words are borrowed from Latin (Windisch, Stokes). Hence <i>féillire</i>, an almanack.","","feill, féill","almanack, are, borrow, breton, celtic, english, fair, feast, festiv, festum, from, féil, féillir, goel, greek, gwyl, henc, holiday, irish, latin, old, stoke, vegli-, veill, vigil, vigilia, wake, watch, welsh, windisch, word","FL","AK, ALMNK, ALT, ALX, ANKLX, ANLX, ANTX, AR, ART, ARX, AX, FJL, FK, FKL, FL, FLR, FLX, FNTX, FR, FRM, FRT, FST, FSTF, FSTM, FX, HLT, HNK, KL, KRK, LTN, PR, PRF, PRTN, SLTK, STK"
"féin","self, Irish, Old Irish <i>féin</i>, <i>*sve-j-sin</i>, ""self there"", <i>*sve-j</i>, <i>*sve</i>, Prussian <i>swaiss</i>, Church Slavonic <i>svoji@u</i>; Latin <i>suus</i>, <i>se@-</i>; Greek @G<i>e@`/</i>, @G<i>o@`/s</i>. Zeuss explains <i>féin</i>, as <i>bé-shin</i>, ""quod sit hoc"", <i>bé</i> being the verb to be. This explanation is due to the divers forms of the Old Irish word for ""self, selves"": <i>fésine</i> (= <i>bé-sin-é</i>, sit id hoc), <i>fésin</i>, <i>fadesin</i> (= <i>bad-é-sin</i>), <i>fodén</i>, etc.","","fein, féin","as, bad-é-sin, be, bé, bé-shin, bé-sin-é, church, diver, due, e`, etc, explain, explan, fadesin, fodén, for, form, féin, fésin, fésine, greek, hoc, id, irish, latin, o`, of, old, prussian, quod, se-, self, selv, sit, slavon, suus, sve, sve-j, sve-j-sin, svojiu, swaiss, there, this, to, verb, word, zeuss","FN","0R, 0S, AA, AF, AKSPLN, ALT, ART, ARX, AS, AT, ATK, FN, FR, FRM, FRP, FRT, FSN, FTN, FTSN, HK, KRK, KT, LTN, P, PRSN, PSNN, PTTSN, PXN, S, SF, SF , SFJ, SFJJSN, SLF, SLFN, SS, ST, T, TFR, TR, TS, XLFN, XRK, XRX, XS"
"Féinn","g. Féinne, the Fingalians, Irish <i>Féinne</i>, Fiann, Early Irish <i>fíann</i>, <i>*veinnâ</i>, also Early Irish <i>fían</i>, a hero, <i>*veino-s</i>, root <i>vein</i>, strive; Latin <i>vênari</i>, hunt; Sanskrit <i>vénati</i>, go, move, desire. Zimmer takes the word from Norse <i>fjándi</i>, an enemy (English <i>fiend</i>, which he supposes the Irish troops called themselves after the Norsemen.","","feinn, féinn","after, also, call, desir, earli, enemi, english, fiann, fiend, fingalian, fjándi, from, féinn, fían, fíann, go, he, hero, hunt, irish, latin, move, nors, norsemen, root, sanskrit, strive, suppos, take, themselv, troop, vein, veinnâ, veino-, vénati, vênari, which, word, zimmer","FN","0MSLF, AFTR, AK, ALS, ANKLX, ANLX, ANM, ARL, ART, ARX, AX, FJNT, FN, FNKLN, FNR, FNT, FRM, FRT, H, HNT, HR, K, KL, LTN, MF, NRS, NRSMN, RT, SMR, SNSKRT, SPS, STRF, TK, TMSLF, TRP, TSR"
"feirm","a farm, Irish <i>feilm</i>; from m.English <i>ferme</i>, English <i>farm</i>.","","feirm","english, farm, feilm, ferm, from, irish, menglish","FRM","ANKLX, ANLX, ARX, FLM, FRM, MNKLX, MNLX"
"féisd, féis","a feast; better feusd, q.v.","","fei, feisd, féis, féisd","better, feast, feusd, qv","F, FS, FST","FST, KF, PTR"
"feith","wait, Irish <i>feithim</i>, Early Irish <i>fethim</i>, inf. <i>fethem</i> (= Gaelic <b>feitheamh</b>), <i>*vetô</i>, root <i>vet</i>; Latin <i>vetus</i>, old, English <i>veteran</i>; Greek @G<i>e@'/tos</i>, year; English <i>wether</i> (""yearling"").","","feith","e'to, earli, english, feitheamh, feithim, fethem, fethim, gaelic, greek, inf, irish, latin, old, root, vet, veteran, vetus, vetô, wait, wether, year, yearl","F0, FT","A0R, AAT, ALT, ANF, ANKLX, ANLX, AR, ARL, ARX, AT, F0M, FT, FTM, FTR, FTRN, FTS, KLK, KRK, LTN, RT"
"féith","a sinew, a vein, Irish, Old Irish <i>féith</i>, fibra, <i>*veiti-s</i>, root <i>vei</i>, <i>vi</i>, wind, bend; Latin <i>vînem</i>, with, <i>vîtis</i>, a vine; Greek @G<i>i@'téa</i> (long @G i), willow; English <i>withe</i>; Lithuanian <i>vy/tis</i>, willow-wand, Church Slavonic <i>viti</i>, res torta; Sanskrit <i>vayati</i>, weave, flecto. The Welsh shows a stem <i>*vittâ</i>, vein, Welsh <i>gwythen</i>, Breton <i>gwazen</i>, Cornish <i>guid-</i>; cf. Latin <i>vitta</i>, fillet. Hence <b>féith</b>, a bog channel (Irish <i>féth</i>, a marsh, bog-stream), and <b>feithleag</b>, honeysuckle, Middle Irish <i>feithlend</i>, woodbine, Welsh <i>gwyddfid</i> (do.).","","feith, féith","bend, bog, bog-stream, breton, cf, channel, church, cornish, do, english, feithleag, feithlend, fibra, fillet, flecto, féith, féth, greek, guid-, gwazen, gwyddfid, gwythen, henc, honeysuckl, i'téa, irish, latin, lithuanian, long, marsh, middl, old, res, root, sanskrit, show, sinew, slavon, stem, torta, vayati, vei, vein, veiti-, vi, vine, viti, vitta, vittâ, vyti, vînem, vîtis, weav, welsh, willow, willow-wand, wind, with, woodbin","F0, FT","A0, AAT, AF, AL, ALNT, ALT, ALX, ANKLX, ANLX, ANT, ARX, ATPN, F, F0, F0LK, F0LNT, FF, FLF, FLKT, FLNT, FLT, FLX, FN, FNM, FNT, FPR, FT, FTLK, FTLNT, FTPN, FTS, HNK, HNSKL, K0N, KF, KRK, KRNX, KSN, KTFT, KTN, KTSN, KTT, L0NN, LNK, LTN, LTNN, MRX, MTL, PK, PKKSTRM, PNT, PRTN, RS, RT, SLFN, SN, SNF, SNSKRT, STM, T, TRT, X, XF, XLFN, XNL, XRK, XRX"
"feitheid","a bird or beast of prey (M`A.), Irish <i>feithide</i>, Irish <i>feithide</i>, a beast:","","feitheid","beast, bird, feithid, irish, m`a, of, or, prey","F0T, FTT","AF, AR, ARX, F0T, FTT, MM, PR, PRT, PST"
"feochadan","corn-thistle, thistle (Arms., H.S.D.), Irish <i>feochadan</i> (O'R.), <i>feóthadán</i> (O'Br.), and <i>feóthán</i>. Cf. fobhannan.","","feochadan","arm, cf, corn-thistl, feochadan, feóthadán, feóthán, fobhannan, hsd, irish, o'br, o'r, thistl","FKTN, FXTN","0STL, AAPR, AAR, ARM, ARX, F0N, F0TN, FKTN, FPNN, FTN, FTTN, FXTN, KF, KRNN0STL, KRNNTSTL, ST, TSTL"
"feòcullan","the pole-cat, Irish <i>feochullan</i> (Fol., O'R. has <i>feocullan</i> like Sh.). Cf. Scottish <i>fethok</i>, <i>fithowe</i>, pole-cat, Middle English <i>ficheu</i>, now <i>fitchew</i>.","","feocullan, feòcullan","cf, english, feochullan, feocullan, fethok, ficheu, fitchew, fithow, fol, has, irish, like, middl, now, o'r, pole-cat, scottish, sh","FKLN","AAR, ANKLX, ANLX, ARX, F0, F0K, FK, FKLN, FL, FTF, FTK, FX, FXF, FXLN, HS, KF, LK, MTL, N, NF, PLKT, SKTX, X"
"feobharan","pith, puff (<b>feo'ran</b>) - Dial.; <i>feodharan</i>, root, <i>*vet</i>, <i>vetu-</i>?","","feobharan","dial, feo'ran, feodharan, pith, puff, root, vet, vetu-","FPRN","FRN, FT, FTRN, P0, PF, PT, RT, TL"
"feobhas","goodness; See feabhas.","","feobha","feabha, good, see","FP","FP, KT, S"
"feòdar","pewter, Irish <i>péatar</i>, Welsh <i>ffeutar</i>; from the English <i>pewter</i>.","","feodar, feòdar","english, ffeutar, from, irish, pewter, péatar, welsh","FTR","ALX, ANKLX, ANLX, ARX, FLX, FRM, FTR, PTR"
"feodhaich","decay, Irish <i>feodhaim</i>, Middle Irish <i>feodaigim</i>, wither: ""senesco""; <i>*vetu-</i>, root <i>vet</i>, as in Latin <i>vetus</i>, Gaelic feith? Old Irish <i>feugud</i>, Welsh <i>gwyw</i>, Latin <i>vietus</i>; <i>*vivagatu</i>?","","feodhaich","as, decay, feith, feodaigim, feodhaim, feugud, gaelic, gwyw, in, irish, latin, middl, old, root, senesco, vet, vetu-, vetus, vietus, vivagatu, welsh, wither","FTK, FTX","A0R, ALT, ALX, AN, ARX, AS, F0, FFKT, FKT, FLX, FT, FTJM, FTKM, FTM, FTR, FTS, K, KF, KLK, LTN, MTL, RT, SNSK, TK"
"feòil","flesh, Irish <i>feoil</i>, Early Irish <i>feóil</i>, Old Irish <i>feúil</i>, <i>*vepoli-s</i>; Sanskrit <i>vapâ</i>, fat, <i>vápus</i>, body, form? <!-- page 171 -->","","feoil, feòil","171, bodi, earli, fat, feoil, feóil, feúil, flesh, form, irish, old, page, sanskrit, vapâ, vepoli-, vápus","FL","ALT, ARL, ARX, FL, FLX, FP, FPL, FPS, FRM, FT, PJ, PK, PT, SNSKRT"
"feòirlig","a farthing land, feòirling; from Anglo-Saxon <i>feorþling</i>, English <i>farthing</i>.","","feoirlig, feòirlig","anglo-saxon, english, farth, feorþl, feòirl, from, land","FRLK","ANKLSKSN, ANKLX, ANLX, FR0, FR0L, FRL, FRM, FRT, FRTL, LNT"
"feòirne","chess, Irish <i>feoirne</i> (Sh., O'R., Fol.):","","feoirn, feòirn","chess, feoirn, fol, irish, o'r, sh","FRN","AAR, ARX, FL, FRN, X, XS"
"feòrag","a squirrel, Irish <i>feoróg</i> ( Sh., O'R., Fol.), Welsh <i>gwiwer</i>, Breton <i>gwiber</i>; Lithuanian <i>vovere@?</i>, Lettic <i>wâweris</i>, Prussian <i>weware</i>; Latin <i>viverra</i>, ferret (Pliny).","","feorag, feòrag","breton, feoróg, ferret, fol, gwiber, gwiwer, irish, latin, lettic, lithuanian, o'r, plini, prussian, sh, squirrel, viverra, vover, welsh, wewar, wâweri","FRK","AAR, ALX, AR, ARX, FFR, FL, FLX, FR, FRK, FRT, KPR, KR, L0NN, LTK, LTN, LTNN, PLN, PRSN, PRTN, SKRL, X"
"feòraich","inquire, <b>fiafraigh</b> (Kintyre Dial.), Irish <i>fiafruighim</i>, Old Irish <i>iarfaigim</i>: <i>*iar-fach</i>, prep. iar and <i>fach</i>, Early Irish <i>faig</i>, dixit, <i>*vakô</i>, say; Latin <i>vocô</i>, call, <i>vox</i>, voice; Sanskrit <i>vac</i>, say. The <i>r</i> of Gaelic and modern Irish has shifted to behind the <i>f</i>, while a prothetic <i>f</i> is added.","","feoraich, feòraich","ad, behind, call, dial, dixit, earli, fach, faig, fiafraigh, fiafruighim, gaelic, has, iar, iar-fach, iarfaigim, inquir, irish, kintyr, latin, modern, of, old, prep, prothet, sanskrit, say, shift, to, vac, vakô, vocô, voic, vox, while","FRK, FRX","AF, AL, ALT, ANKR, AR, ARFJM, ARFKM, ARL, ARRFK, ARX, AT, FFR, FFRM, FK, FKS, HS, KL, KLK, KNTR, LTN, MTRN, PHNT, PR0T, PRP, PRTT, S, SNSKRT, T, TKST, TL, XFT"
"feòrlan","a firlot; See feòirling.","","feorlan, feòrlan","feòirl, firlot, see","FRLN","FRL, FRLT, S"
"feothachan, feothan","(Arran), a little breeze; root <i>vet</i>, as in onfhadh.","","feothachan, feothan","arran, as, breez, in, littl, onfhadh, root, vet","F0KN, F0N, FTKN, FTN","AN, ANFT, ARN, AS, FT, LTL, PRS, RT"
"feuch, fiach","behold, see, try, Irish feuch, <i>féach</i>, Early Irish <i>féchaim</i>, <i>fégaim</i>, <i>*veikô</i>; Greek <i>ei@'kw/n</i>, image (English <i>iconoclastic</i>), @G<i>eo@'/ika</i>, I seem, @G<i>ei@'kazw</i>, conjecture; Sanskrit <i>vic@?</i>, appear, arrive.","","feuch, fiach","appear, arriv, behold, conjectur, earli, ei'kazw, ei'kwn, english, eo'ika, feuch, féach, féchaim, fégaim, greek, iconoclast, imag, irish, sanskrit, see, seem, tri, veikô, vic","FK, FX","AK, AKN, AKNKLST, AKS, AKTS, AMK, ANKLX, ANLX, APR, ARF, ARL, ARX, FK, FKM, FX, FXM, KNJKTR, KRK, PHLT, S, SM, SNSKRT, TR"
"feud","may, can; See faod.","","feud","can, faod, may, see","FT","FT, KN, M, S"
"feudail","cattle; usual spelling of eudail, q.v.","","feudail","cattl, eudail, of, qv, spell, usual","FTL","AF, ASL, ATL, KF, KTL, SPL"
"feudar, 's fheudar","it is necessary, Middle Irish <i>is eidir</i>, it is possible, for <i>is ed fhétir</i>, it is what is possible. feudar is the pres. pass. of feud, may. In Gaelic the ""may"" has become ""must"". The negative, <b>cha 'n fheudar</b>, is common in Early Irish as <i>ni fhétir</i>, <i>ni étir</i>, cannot be.","","'s, feudar, fheudar","'n, as, be, becom, cannot, cha, common, earli, ed, eidir, feud, feudar, fheudar, fhétir, for, gaelic, has, in, irish, it, may, middl, must, necessari, negat, ni, of, pass, possibl, pres, what, étir","FTR, S","AF, AN, ARL, ARX, AS, AT, ATR, FR, FT, FTR, HS, KLK, KMN, KNT, M, MST, MTL, N, NKT, NSSR, P, PKM, PRS, PS, PSPL, X"
"feum","use, need, Irish <i>feidhm</i>, pl. <i>feidhmeanna</i>, need, use, duty, need-service of a vassal, Early Irish <i>feidm</i>, effort, <i>*védes-men-</i>, ""need-service""; root <i>ved</i>, as in feadhainn. Hence <b>feumannach</b>, a steward: ""a servitor"".","","feum","as, duti, earli, effort, feadhainn, feidhm, feidhmeanna, feidm, feumannach, henc, in, irish, need, need-servic, of, pl, root, servitor, steward, use, vassal, ved, védes-men-","FM","AF, AFRT, AN, ARL, ARX, AS, FMNK, FSL, FT, FTM, FTMN, FTN, FTSSMNN, HNK, NT, NTTSRFK, PL, RT, SRFTR, STRT, TT"
"feun","a waggon, wain, Old Irish <i>fén</i>, Welsh <i>cywain</i>, vehere, <i>*vegno-</i>, root <i>vegh</i>, carry; Latin <i>veho</i>, <i>vehiculum</i>, vehicle; Greek @G<i>o@'/hos</i>, chariot; English <i>waggon</i>, <i>wain</i>; Sanskrit <i>vahati</i>, carry.","","feun","carri, chariot, cywain, english, fén, greek, irish, latin, o'ho, old, root, sanskrit, vahati, vegh, vegno-, veher, vehicl, vehiculum, veho, waggon, wain, welsh","FN","AA, AKN, ALT, ALX, AN, ANKLX, ANLX, ARX, F, FH, FHKL, FHKLM, FHR, FHT, FKN, FLX, FN, KR, KRK, LTN, RT, SN, SNSKRT, XRT"
"feur, fiar","grass, Irish feur, Old Irish <i>fér</i>, Welsh <i>gwair</i>, Cornish <i>gwyr</i>, <i>*vegro-</i>, Indo-European root <i>ve@g</i>, increase, be strong; Latin <i>vegeo</i>, quicken, <i>vigor</i>, vigour, English <i>vegetation</i>; Anglo-Saxon <i>wacan</i>, nasci, English <i>waken</i>. Strachan and Stokes refer it to the root <i>ve@g</i>, <i>u@g</i>, be wet, moist, Latin <i>uvidus</i>, moist, English <i>humour</i>, Greek @G<i>u@`grós</i>, wet, Norse <i>vökr</i>, moist; but judged by the Latin, the Celtic should be <i>vebro-</i>, which would not give Welsh <i>gwair</i>.","","feur, fiar","anglo-saxon, be, by, celtic, cornish, english, feur, fér, give, grass, greek, gwair, gwyr, humour, increas, indo-european, irish, it, judg, latin, moist, nasci, nors, not, old, quicken, refer, root, should, stoke, strachan, strong, to, u`gró, ug, uvidus, vebro-, veg, vegeo, veget, vegro-, vigor, vigour, vökr, wacan, waken, welsh, wet, which, would","FR","AAKR, AFTS, AK, AKN, ALT, ALX, ANKLSKSN, ANKLX, ANKRS, ANLX, ANTRPN, ARX, AT, ATK, AX, FJ, FK, FKN, FKR, FKT, FLT, FLX, FPR, FR, FT, HMR, JF, JTK, KF, KKN, KR, KRK, KRNX, KRS, LTN, MST, NRS, NS, NT, P, RFR, RT, SLTK, STK, STRKN, STRNK, T, XLT"
"feursa","a canker, <b>veursann</b>, a worm in the hide of cattle:","","feursa","canker, cattl, hide, in, of, veursann, worm","FRS","AF, AN, ARM, FRM, FRSN, HT, KNKR, KTL"
"feusag, fiasag","a beard, Irish <i>féusóg</i>, <i>féasóg</i>, Early Irish <i>fésóc</i>, beard, <i>fés</i>, hair, <i>*vanso</i>, Old Prussian, <i>wanso</i>, first beard, Church Slavonic <i>vasu@u</i>, beard.","","feusag, fiasag","beard, church, earli, first, féasóg, fés, fésóc, féusóg, hair, irish, old, prussian, slavon, vanso, vasuu, wanso","FSK","ALT, ANS, ARL, ARX, FNS, FRST, FS, FSK, HR, PRSN, PRT, SLFN, XLFN, XRK, XRX"
"feusd, feusda","(<b>féisd</b>, <b>féis</b>), a feast, Irish féis, <i>feusda</i>, Early Irish <i>feiss</i>; from Latin <i>festia</i>, English <i>feast</i>. <!-- page 172 -->","","feusd, feusda","172, earli, english, feast, feiss, festia, feusda, from, féis, féisd, irish, latin, page","FST","ANKLX, ANLX, ARL, ARX, FRM, FS, FST, FSX, LTN, PJ, PK"
"feusgan, fiasgan","a mussel:","","feusgan, fiasgan","mussel","FSKN","MSL"
"fhuair","found, invent, Irish <i>fuair</i>, Old Irish <i>fúar</i>, inveni, frith, inventus est, <i>*vovora</i>, root <i>ver</i>; Greek @G<i>eu@`@nron</i>, I found, @G<i>eu@`/rcka</i> (Strachan, Prellwitz). The root <i>ver</i> is likely that found in Greek @G<i>o@`ráw</i>, I see, Latin <i>vereor</i>, English <i>ware</i>.","","fhuair","english, est, eu`nron, eu`rcka, found, frith, fuair, fúar, greek, in, inveni, invent, inventus, irish, latin, like, o`ráw, old, prellwitz, root, see, strachan, that, ver, vereor, vovora, ware","FR","0T, AAR, AARF, ALT, AN, ANFN, ANFNT, ANFNTS, ANKLX, ANLX, ANRN, AR, ARK, ARX, AST, FFR, FNT, FR, FR0, FRR, FRT, KRK, LK, LTN, PRLFX, PRLTS, RT, S, STRKN, TT"
"fiabhras","a fever, Irish, Middle Irish <i>fiabhrus</i>; from Latin <i>febris</i>.","","fiabhra","febri, fever, fiabhrus, from, irish, latin, middl","FPR","ARX, FFR, FPR, FPRS, FRM, LTN, MTL"
"fiacaill","a tooth, Irish, Old Irish <i>fiacail</i>. There is an Early Irish <i>fec</i> for <i>féc</i>, a tooth, a stem <i>*veikkâ</i>:","","fiacail","earli, fec, fiacail, for, féc, irish, old, stem, there, tooth, veikkâ","FKL","0R, ALT, ARL, ARX, FK, FKL, FR, STM, T0, TR, TT"
"fiach","value, worth; See fiach.","","fiach","fiach, see, valu, worth","FK, FX","AR0, FK, FL, FRT, FX, S"
"fiach, fiachan","debt, value, Irish fiach, Old Irish <i>fíach</i>, <i>*veico-</i>, Latin <i>vices</i>, change, German <i>wechsel</i>, exchange, Sanskrit <i>vishtí</i>, changing, in turn (Osthoff). This is the right derivation.","","fiach, fiachan","chang, debt, deriv, exchang, fiach, fíach, german, in, irish, latin, old, osthoff, right, sanskrit, this, turn, valu, veico-, vice, vishtí, wechsel","FK, FKN, FX, FXN","0S, AKSL, AKSNK, ALT, AN, ARX, AS0F, ASTF, FK, FKSL, FL, FS, FX, FXT, JRMN, KRMN, LTN, RT, SNSKRT, TPT, TRF, TRN, TS, XNK"
"fiadh","a deer, Irish <i>fiadh</i>, Early Irish <i>fíad</i>, Old Irish <i>fíadach</i>, venatio, Welsh <i>gwydd</i>, Breton <i>guez</i>, <i>goez</i>, savage, <i>*veido-s</i>, wild; Old High German <i>weide</i>, a hunt, German <i>weide</i>, pasturage, Norse <i>veiðr</i>, hunting; further is Gaelic fiodh, wood, English <i>wood</i>. Hence <b>fiadhaich</b>, wild.","","fiadh","breton, deer, earli, english, fiadh, fiadhaich, fiodh, further, fíad, fíadach, gaelic, german, goez, guez, gwydd, henc, high, hunt, irish, nors, old, pasturag, savag, veido-, veiðr, venatio, weid, welsh, wild, wood","FT","ALT, ALX, ANKLX, ANLX, ARL, ARX, AT, F0R, FLT, FLX, FNT, FR0R, FRTR, FT, FTK, FTR, FTX, HH, HNK, HNT, JRMN, KLK, KRMN, KS, KT, NRS, PRTN, PSTRK, SFK, TR"
"fiadhaich","invite, welcome (Skye):","","fiadhaich","invit, skye, welcom","FTK, FTX","ALKM, ANFT, FLKM, SK"
"fiadhair","lay or fallow land; from the above root of fiadh. Cf. German <i>weide</i>, pasture. Also Gaelic <b>fiadhain</b>, wild, Irish <i>fiadháin</i>, wild, uncultivated.","","fiadhair","abov, also, cf, fallow, fiadh, fiadhain, fiadháin, from, gaelic, german, irish, land, lay, of, or, pastur, root, uncultiv, weid, wild","FTR","AF, ALS, ALT, ANKLTF, APF, AR, ARX, AT, FL, FLF, FLT, FRM, FT, FTN, JRMN, KF, KLK, KRMN, L, LNT, PSTR, RT"
"fial","generous, Irish <i>fial</i>, Early Irish <i>fíal</i>, modest, Welsh <i>gwyl</i>. Bez. suggests <i>*veiplo-</i>, Teutonic <i>vîba-</i>, German <i>weib</i>, English <i>wife</i>. Cf. Irish <i>fialus</i>, relationship. The underlying idea is ""kindness, relationship"".","","fial","bez, cf, earli, english, fial, fialus, fíal, generous, german, gwyl, idea, irish, kind, modest, relationship, suggest, teuton, under, veiplo-, vîba-, weib, welsh, wife","FL","AF, ALX, ANKLX, ANLX, ANTR, AP, ARL, ARX, AT, FF, FL, FLS, FLX, FP, FPL, JNRS, JRMN, KF, KL, KNRS, KNT, KRMN, MTST, PS, RLXNXP, SKST, TTN"
"fiamh","awe, reverence, Irish <i>fiamh</i>, fear, reverence, ugly, horrible, Early Irish <i>fiam</i>, horrible:","","fiamh","awe, earli, fear, fiam, fiamh, horribl, irish, rever, ugli","FM","A, AKL, AL, ARL, ARX, FM, FR, HRPL, RFR"
"fiamh","aspect, appearance, trace, Irish fiamh, track, trace, chain, <i>fíamh</i> (O'Cl.) = lorg, Early Irish <i>fiam</i>, a chain, <i>*veimo-</i>, root <i>vei</i>, wind, as in féith. <b>fiamh ghàire</b>, <b>fèath ghaire</b> (Arg.), a slight smile, is in Irish <i>fáetheadh an gháire</i>, appearance of a smile, Early Irish <i>féth</i>, aspect.","","fiamh","appear, arg, as, aspect, chain, earli, fiam, fiamh, fáetheadh, fèath, féith, féth, fíamh, ghair, ghàire, gháire, in, irish, lorg, o'cl, of, root, slight, smile, trace, track, vei, veimo-, wind","FM","AAKL, AF, AN, ANT, APR, ARK, ARL, ARX, AS, ASPKT, F, F0, F0T, FM, FNT, FT, FTT, KR, LRK, RT, SLT, SML, TRK, TRS, XLT, XML, XN"
"fianaidh","peat cart; <i>carn-fianaidh</i> (Ross); See feun.","","fianaidh","carn-fianaidh, cart, feun, peat, ross, see","FNT","FN, KRNNFNT, KRT, PT, RS, S"
"Fiann","the Fingalians; See Féinn. This is the real nom. case.","","fiann","case, fingalian, féinn, nom, real, see, this","FN","0S, FN, FNKLN, KS, NM, RL, S, TS"
"fiantag","the black heath-berr; root <i>vein</i> as in Fiann.","","fiantag","as, black, fiann, heath-berr, in, root, vein","FNTK","AN, AS, FN, H00R, HTTR, PLK, RT"
"fianuis","witness, a witness, Irish <i>fiadhnuise</i>, <i>fiadhan</i>, a witness, Old Irish <i>fiadnisse</i>, testimony, <i>fiadu</i>, acc. <i>fiadain</i>, testem, <i>*veidôn</i>, Indo-European root <i>veid</i>, <i>vid</i>, know, see, as in fios, q.v.; Anglo-Saxon <i>witta</i>, a witness, English <i>witness</i>, root, <i>wit</i>, know.","","fianui","acc, anglo-saxon, as, english, fiadain, fiadhan, fiadhnuis, fiadniss, fiadu, fio, in, indo-european, irish, know, old, qv, root, see, testem, testimoni, veid, veidôn, vid, wit, witta","FN","AK, ALT, AN, ANKLSKSN, ANKLX, ANLX, ANTRPN, ARX, AS, AT, F, FT, FTN, FTNS, KF, N, NF, RT, S, TSTM, TSTMN"
"fiar","crooked, Irish <i>fiar</i>, Early Irish <i>fíar</i>, Welsh <i>gwyr</i>, Greek <i>goar</i>, <i>gwar</i>, <i>*veiro-</i>; root <i>vei</i>, wind as in féith; English <i>wire</i>, Anglo-Saxon <i>wîr</i>, wire.","","fiar","anglo-saxon, as, crook, earli, english, fiar, féith, fíar, goar, greek, gwar, gwyr, in, irish, root, vei, veiro-, welsh, wind, wire, wîr","FR","ALX, AN, ANKLSKSN, ANKLX, ANLX, ANT, AR, ARL, ARX, AS, F, F0, FLX, FNT, FR, FT, KR, KRK, RT"
"fiat, fiata","wild; a participial formation from fiadh. Also <b>fiadhta</b>, so Irish","","fiat, fiata","also, fiadh, fiadhta, format, from, irish, participi, so, wild","FT","ALS, ALT, ARX, FLT, FRM, FRMT, FT, FTT, PRTSP, S"
"fiatach","quiet and sly (Skye):","","fiatach","quiet, skye, sli","FTK","KT, SK, SL, XL"
"fiathail","calm; See fè. <!-- page 173 -->","","fiathail","173, calm, fè, page, see","F0L, FTL","F, KLM, PJ, PK, S"
